year,exporter_code,importer_code,exporter_name,importer_name,hs_section,value,quantity
1995,124,842,Canada,USA,I - Live animals; animal products,2966512.889,1203517.6779999998
1995,124,842,Canada,USA,II - Vegetable products,1387300.682,6679179.069
1995,124,842,Canada,USA,III - Animal or vegetable fats and oils,360896.106,527747.787
1995,124,842,Canada,USA,IV - Prepared foodstuffs; beverages; tobacco,2595056.936,3511083.466
1995,124,842,Canada,USA,IX - Wood and articles of wood,7438175.988,27939914.395
1995,124,842,Canada,USA,V - Mineral products,15671772.43,98882049.34200001
1995,124,842,Canada,USA,VI - Products of the chemical or allied industries,6005967.034,19447318.020999998
1995,124,842,Canada,USA,VII - Plastics and rubber,5607910.589,2787510.562
1995,124,842,Canada,USA,VIII - Raw hides and skins; leather; travel goods,270916.938,61023.687000000005
1995,124,842,Canada,USA,X - Pulp of wood; paper and paperboard,13181101.641,16692891.950000001
1995,124,842,Canada,USA,XI - Textiles and textile articles,1929099.255,336504.51900000003
1995,124,842,Canada,USA,XII - Footwear; headgear; umbrellas,151959.597,3413.1719999999996
1995,124,842,Canada,USA,"XIII - Articles of stone, plaster, cement, glass",1042883.022,1221634.775
1995,124,842,Canada,USA,XIV - Natural or cultured pearls; precious stones,1668553.6390000002,267.26099999999997
1995,124,842,Canada,USA,XIX - Arms and ammunition,40604.75,242.121
1995,124,842,Canada,USA,XV - Base metals and articles of base metal,11976109.075,10217298.339
1995,124,842,Canada,USA,XVI - Machinery and electrical equipment,20843526.498,1498671.154
1995,124,842,Canada,USA,"XVII - Vehicles, aircraft, vessels",43977990.248,4043172.934
1995,124,842,Canada,USA,"XVIII - Optical, medical, measuring instruments",1288647.561,7155.91
1995,124,842,Canada,USA,XX - Miscellaneous manufactured articles,3161850.6089999997,91580.761
1995,156,124,China,Canada,I - Live animals; animal products,48662.135,15509.914
1995,156,124,China,Canada,II - Vegetable products,48198.93,47374.59
1995,156,124,China,Canada,III - Animal or vegetable fats and oils,1001.5150000000001,615.495
1995,156,124,China,Canada,IV - Prepared foodstuffs; beverages; tobacco,43139.275,37621.733
1995,156,124,China,Canada,IX - Wood and articles of wood,29028.119,9861.032
1995,156,124,China,Canada,V - Mineral products,31280.623,443254.486
1995,156,124,China,Canada,VI - Products of the chemical or allied industries,115832.367,48262.299
